year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,50004,Aguarón,50,2,724,374000.0,78880.0,108.95,859930.0,1187.75
2015,9006,Aguas Cándidas,9,7,58,0.0,,,76600.0,1320.69
2015,47002,Aguasal,47,7,26,0.0,,,30913.0,1188.96
2015,44003,Aguatón,44,2,19,0.0,,,0.0,0.0
2015,44004,Aguaviva,44,2,586,198000.0,33000.0,56.31,984570.42,1680.14
2015,13002,Agudo,13,8,1750,0.0,21000.0,12.0,1591793.01,909.6
2015,22004,Agüero,22,2,145,112000.0,25700.0,177.24,365304.0,2519.33
2015,40004,Aguilafuente,40,7,639,7000.0,14936.0,23.37,595679.0,932.19
2015,9007,Aguilar de Bureba,9,7,68,0.0,,,105200.0,1547.06
2015,34004,Aguilar de Campoo,34,7,7033,2237000.0,441000.0,62.7,7162117.02,1018.35
2015,47003,Aguilar de Campos,47,7,284,0.0,,,258614.23,910.61
2015,31008,Aguilar de Codés,31,15,83,0.0,,,0.0,0.0
2015,14002,Aguilar de la Frontera,14,1,13551,86000.0,167494.57,12.36,7186241.83,530.31
2015,8002,Aguilar de Segarra,8,9,246,1514000.0,717500.0,2916.67,3173720.0,12901.32
2015,44005,Aguilar del Alfambra,44,2,66,0.0,,,0.0,0.0
2015,26003,Aguilar del Río Alhama,26,17,509,214000.0,52410.04,102.97,635671.86,1248.87
2015,30003,Águilas,30,14,34772,663000.0,760837.88,21.88,26149644.0,752.03
2015,50005,Aguilón,50,2,254,192000.0,,,0.0,0.0
2015,35002,Agüimes,35,5,30294,5308000.0,1416333.81,46.75,35302067.74,1165.31
2015,17001,Agullana,17,9,828,465000.0,65000.0,78.5,1001900.0,1210.02
2015,46004,Agullent,46,10,2402,0.0,,,1787000.0,743.96
2015,38002,Agulo,38,5,1081,156000.0,46500.0,43.02,1700440.0,1573.03
2015,10006,Ahigal,10,11,1421,0.0,,,1136000.0,799.44
2015,37003,Ahigal de los Aceiteros,37,7,136,0.0,,,146600.0,1077.94
2015,37004,Ahigal de Villarino,37,7,41,0.0,,,0.0,0.0
2015,6003,Ahillones,6,11,960,0.0,800.0,0.83,850000.0,885.42
2015,20016,Aia,20,16,2051,0.0,,,0.0,0.0
2015,31009,Aibar/Oibar,31,15,832,777000.0,,,0.0,0.0
2015,46042,Aielo de Malferit,46,10,4705,1695000.0,306800.0,65.21,3596600.0,764.42
2015,46043,Aielo de Rugat,46,10,173,0.0,,,178701.25,1032.96
2015,8014,Aiguafreda,8,9,2465,938000.0,318000.0,129.01,2589150.0,1050.36
2015,43001,Aiguamúrcia,43,9,912,340000.0,110000.0,120.61,1626704.44,1783.65
2015,17002,Aiguaviva,17,9,775,115000.0,,,902416.55,1164.4
2015,3004,Aigües,3,10,937,878000.0,96744.77,103.25,723498.94,772.15
2015,12002,Aín,12,10,131,0.0,510.0,3.89,171174.0,1306.67
2015,22907,Aínsa-Sobrarbe,22,2,2220,1077000.0,385300.0,173.56,2697580.0,1215.13
2015,50006,Ainzón,50,2,1143,1123000.0,123274.0,107.85,766807.0,670.86
2015,22006,Aisa,22,2,358,127000.0,77077.76,215.3,1057654.19,2954.34
2015,25038,Aitona,25,9,2456,946000.0,230453.37,93.83,2216184.52,902.35
2015,20003,Aizarnazabal,20,16,775,666000.0,,,0.0,0.0
2015,28002,Ajalvir,28,13,4343,1715000.0,374953.27,86.34,5403900.0,1244.28
2015,26004,Ajamil de Cameros,26,17,71,0.0,,,330649.79,4657.04
2015,48911,Ajangiz,48,16,459,0.0,,,0.0,0.0
2015,45001,Ajofrín,45,8,2314,960000.0,80000.0,34.57,1680820.2,726.36
2015,44006,Alacón,44,2,293,0.0,,,0.0,0.0
2015,50007,Aladrén,50,2,52,0.0,,,79140.12,1521.93
2015,47004,Alaejos,47,7,1418,14000.0,23800.0,16.78,1136600.0,801.55
2015,50008,Alagón,50,2,7014,1367000.0,124532.16,17.75,4754580.75,677.87
2015,10903,Alagón del Río,10,11,923,6000.0,500.0,0.54,619080.0,670.73
2015,7002,Alaior,7,4,8997,6885000.0,1880291.0,208.99,10875110.55,1208.74
2015,21001,Alájar,21,1,813,295000.0,60118.1,73.95,648473.75,797.63
2015,38003,Alajeró,38,5,2025,0.0,,,2763138.0,1364.51
2015,29001,Alameda,29,1,5403,636000.0,10000.0,1.85,4748077.51,878.78
2015,37005,"Alameda de Gardón, La",37,7,89,0.0,,,0.0,0.0
2015,45002,Alameda de la Sagra,45,8,3478,1521000.0,1071781.44,308.16,3051789.96,877.45
2015,28003,Alameda del Valle,28,13,217,0.0,,,0.0,0.0
2015,18002,Alamedilla,18,1,637,297000.0,,,0.0,0.0
2015,37006,"Alamedilla, La",37,7,146,0.0,,,132890.0,910.19
2015,13003,Alamillo,13,8,531,420000.0,,,0.0,0.0
2015,19004,Alaminos,19,8,73,0.0,,,60800.0,832.88
2015,28004,"Álamo, El",28,13,8965,11251000.0,918540.48,102.46,5713028.45,637.27
2015,25004,"Alamús, Els",25,9,778,298000.0,84300.0,108.35,723000.0,929.31
2015,6004,Alange,6,11,1914,1000.0,63427.52,33.14,1849000.0,966.04
2015,41002,Alanís,41,1,1820,1699000.0,127740.3,70.19,1899419.45,1043.65
2015,46005,Alaquàs,46,10,29838,31384000.0,3470000.0,116.29,21350556.21,715.54
2015,34005,Alar del Rey,34,7,987,790000.0,12275.71,12.44,1000000.0,1013.17
2015,37007,Alaraz,37,7,502,483000.0,,,0.0,0.0
2015,50009,Alarba,50,2,152,176000.0,,,0.0,0.0
